품목코드,분야,품목명,정의,공급망상태,비고
KP001,이차전지,고체전해질,황화물계·산화물계 고체전해질,해외의존,전고체전지 상용화 핵심
KP002,이차전지,전극용 바인더,고전압 대응 바인더 수지,일부의존,국산화 진행 중
KP003,반도체,포토레지스트,EUV·ArF용 감광재,고의존,공급망 취약 품목
KP004,반도체,고순도 불화수소,반도체 세정·식각용,고의존,2019 수출규제 대상
KP005,반도체,블랭크마스크,노광 공정용 원판,고의존,국산화 초기
KP006,디스플레이,광학필름,고굴절·위상차 필름,일부의존,대체 가능
KP007,디스플레이,QD 소재,무카드뮴 양자점,일부의존,환경규제 대응 필요
KP008,금속,티타늄 합금,항공·의료용 고강도 합금,고의존,적층제조 연계
KP009,금속,경량 알루미늄,자동차 차체용 고강도재,자립,고도화 필요
KP010,금속,마그네슘 합금,난연 마그네슘,일부의존,성형성 과제
KP011,수소,수전해 촉매,비귀금속 촉매,일부의존,귀금속 대체 시급
KP012,수소,수소저장 소재,금속수소화물·복합재,연구단계,실증 필요
KP013,환경·자원,희토류 대체재,영구자석용 대체 소재,고의존,자원 편중
KP014,환경·자원,폐배터리 회수,유가금속 습식 회수,자립,공정 고도화
KP015,바이오소재,생분해성 임플란트,마그네슘·폴리머계,일부의존,인증 장벽
KP016,융합,초내열 세라믹,극한환경 복합소재,연구단계,수요 제한적
KP017,융합,고방열 필러,전자기기 열관리,일부의존,수요 확대
KP018,소재정보학,소재 데이터,표준 데이터셋·DB,미구축,기반 인프라
